Date,sentiment_score
27-Jul-18,-0.1132075471698113
28-Jul-18,0.14893617021276606
29-Jul-18,0.0
30-Jul-18,-0.01851851851851849
31-Jul-18,-0.09433962264150941
01-Aug-18,-0.1875
02-Aug-18,0.0
03-Aug-18,-0.07692307692307687
04-Aug-18,-0.13888888888888884
05-Aug-18,-0.25806451612903225
06-Aug-18,0.08695652173913038
07-Aug-18,0.0
08-Aug-18,-0.07999999999999996
09-Aug-18,-0.17391304347826086
10-Aug-18,0.10526315789473695
11-Aug-18,-0.1428571428571429
12-Aug-18,0.0
13-Aug-18,0.16666666666666674
14-Aug-18,-0.23809523809523814
15-Aug-18,0.125
16-Aug-18,0.16666666666666674
17-Aug-18,-0.09523809523809523
18-Aug-18,0.26315789473684204
19-Aug-18,0.125
